,ensemble_member,lat_resolution,lon_resolution
,unique,unique,unique
model,,,
ACCESS-CM2,['r1i1p1f1'],[0.5],[0.5]
ACCESS-ESM1-5,['r1i1p1f1'],[0.5],[0.5]
BCC-CSM2-MR,['r1i1p1f1'],[0.5],[0.5]
CNRM-CM6-1,['r1i1p1f2'],[0.5],[0.5]
CNRM-CM6-1-HR,['r1i1p1f2'],[0.5],[0.5]
CNRM-ESM2-1,['r1i1p1f2'],[0.5],[0.5]
CanESM5,['r1i1p1f1'],[0.5],[0.5]
EC-Earth3,['r1i1p1f1'],[0.5],[0.5]
EC-Earth3-Veg,['r1i1p1f1'],[0.5],[0.5]
FGOALS-g3,['r1i1p1f1'],[0.5],[0.5]
GFDL-CM4,['r1i1p1f1'],[0.5],[0.5]
GFDL-ESM4,['r1i1p1f1'],[0.5],[0.5]
HadGEM3-GC31-LL,['r1i1p1f3'],[0.5],[0.5]
HadGEM3-GC31-MM,['r1i1p1f3'],[0.5],[0.5]
INM-CM4-8,['r1i1p1f1'],[0.5],[0.5]
INM-CM5-0,['r1i1p1f1'],[0.5],[0.5]
KACE-1-0-G,['r1i1p1f1'],[0.5],[0.5]
KIOST-ESM,['r1i1p1f1'],[0.5],[0.5]
MIROC-ES2L,['r1i1p1f2'],[0.5],[0.5]
MIROC6,['r1i1p1f1'],[0.5],[0.5]
MPI-ESM1-2-HR,['r1i1p1f1'],[0.5],[0.5]
MPI-ESM1-2-LR,['r1i1p1f1'],[0.5],[0.5]
MRI-ESM2-0,['r1i1p1f1'],[0.5],[0.5]
NESM3,['r1i1p1f1'],[0.5],[0.5]
NorESM2-LM,['r1i1p1f1'],[0.5],[0.5]
NorESM2-MM,['r1i1p1f1'],[0.5],[0.5]
UKESM1-0-LL,['r1i1p1f2'],[0.5],[0.5]
